state,consumer_category,sub-category,supply_voltage_category,supply_voltage,month,tod_start_time,tod_end_time,base_energy_rate,base_energy_unit,tod_charge_percent,energy_rate
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),—,202703,9:00,16:00,6.16,kWh,-20,4.928
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",Low Tension (LT),—,202703,16:00,9:00,7.7,kWh,0,7.7
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202604,9:00,16:00,5.84,kWh,-20,4.672
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202604,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202605,9:00,16:00,5.84,kWh,-20,4.672
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202605,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202606,9:00,16:00,5.84,kWh,-20,4.672
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202606,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202607,9:00,16:00,5.84,kWh,-20,4.672
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202607,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202608,9:00,16:00,5.84,kWh,-20,4.672
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202608,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202609,9:00,16:00,5.84,kWh,-20,4.672
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202609,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202610,9:00,16:00,5.84,kWh,-20,4.672
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202610,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202611,9:00,16:00,5.84,kWh,-20,4.672
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202611,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202612,9:00,16:00,5.84,kWh,-20,4.672
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202612,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202701,9:00,16:00,5.84,kWh,-20,4.672
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202701,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202702,9:00,16:00,5.84,kWh,-20,4.672
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202702,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202703,9:00,16:00,5.84,kWh,-20,4.672
Uttar Pradesh,LMV-11,"Public Charging, BaaS, Swapping Stations",High Tension (HT),—,202703,16:00,9:00,7.3,kWh,0,7.3
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,202604,—,—,8.32,kVAh,0,8.32
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,202605,—,—,8.32,kVAh,0,8.32
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,202606,—,—,8.32,kVAh,0,8.32
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,202607,—,—,8.32,kVAh,0,8.32
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,202608,—,—,8.32,kVAh,0,8.32
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,202609,—,—,8.32,kVAh,0,8.32
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,202610,—,—,8.32,kVAh,0,8.32
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,202611,—,—,8.32,kVAh,0,8.32
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,202612,—,—,8.32,kVAh,0,8.32
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,202701,—,—,8.32,kVAh,0,8.32
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,202702,—,—,8.32,kVAh,0,8.32
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,202703,—,—,8.32,kVAh,0,8.32
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",Above 11 kV,"33,66,132",202604,—,—,8.12,kVAh,0,8.12
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",Above 11 kV,"33,66,132",202605,—,—,8.12,kVAh,0,8.12
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",Above 11 kV,"33,66,132",202606,—,—,8.12,kVAh,0,8.12
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",Above 11 kV,"33,66,132",202607,—,—,8.12,kVAh,0,8.12
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",Above 11 kV,"33,66,132",202608,—,—,8.12,kVAh,0,8.12
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",Above 11 kV,"33,66,132",202609,—,—,8.12,kVAh,0,8.12
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",Above 11 kV,"33,66,132",202610,—,—,8.12,kVAh,0,8.12
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",Above 11 kV,"33,66,132",202611,—,—,8.12,kVAh,0,8.12
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",Above 11 kV,"33,66,132",202612,—,—,8.12,kVAh,0,8.12
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",Above 11 kV,"33,66,132",202701,—,—,8.12,kVAh,0,8.12
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",Above 11 kV,"33,66,132",202702,—,—,8.12,kVAh,0,8.12
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",Above 11 kV,"33,66,132",202703,—,—,8.12,kVAh,0,8.12
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",At 11 kV,11,202604,—,—,7.7,kVAh,0,7.7
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",At 11 kV,11,202605,—,—,7.7,kVAh,0,7.7
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",At 11 kV,11,202606,—,—,7.7,kVAh,0,7.7
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",At 11 kV,11,202607,—,—,7.7,kVAh,0,7.7
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",At 11 kV,11,202608,—,—,7.7,kVAh,0,7.7
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",At 11 kV,11,202609,—,—,7.7,kVAh,0,7.7
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",At 11 kV,11,202610,—,—,7.7,kVAh,0,7.7
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",At 11 kV,11,202611,—,—,7.7,kVAh,0,7.7
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",At 11 kV,11,202612,—,—,7.7,kVAh,0,7.7
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",At 11 kV,11,202701,—,—,7.7,kVAh,0,7.7
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",At 11 kV,11,202702,—,—,7.7,kVAh,0,7.7
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",At 11 kV,11,202703,—,—,7.7,kVAh,0,7.7
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",Above 11 kV,"33,66,132",202604,—,—,7.5,kVAh,0,7.5
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",Above 11 kV,"33,66,132",202605,—,—,7.5,kVAh,0,7.5
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",Above 11 kV,"33,66,132",202606,—,—,7.5,kVAh,0,7.5
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",Above 11 kV,"33,66,132",202607,—,—,7.5,kVAh,0,7.5
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",Above 11 kV,"33,66,132",202608,—,—,7.5,kVAh,0,7.5
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",Above 11 kV,"33,66,132",202609,—,—,7.5,kVAh,0,7.5
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",Above 11 kV,"33,66,132",202610,—,—,7.5,kVAh,0,7.5
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",Above 11 kV,"33,66,132",202611,—,—,7.5,kVAh,0,7.5
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",Above 11 kV,"33,66,132",202612,—,—,7.5,kVAh,0,7.5
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",Above 11 kV,"33,66,132",202701,—,—,7.5,kVAh,0,7.5
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",Above 11 kV,"33,66,132",202702,—,—,7.5,kVAh,0,7.5
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",Above 11 kV,"33,66,132",202703,—,—,7.5,kVAh,0,7.5
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202604,5:00,10:00,6.035,kVAh,-15,5.12975
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202604,10:00,19:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202604,19:00,3:00,8.165,kVAh,15,9.38975
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202604,3:00,5:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202605,5:00,10:00,6.035,kVAh,-15,5.12975
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202605,10:00,19:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202605,19:00,3:00,8.165,kVAh,15,9.38975
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202605,3:00,5:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202606,5:00,10:00,6.035,kVAh,-15,5.12975
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202606,10:00,19:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202606,19:00,3:00,8.165,kVAh,15,9.38975
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202606,3:00,5:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202607,5:00,10:00,6.035,kVAh,-15,5.12975
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202607,10:00,19:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202607,19:00,3:00,8.165,kVAh,15,9.38975
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202607,3:00,5:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202608,5:00,10:00,6.035,kVAh,-15,5.12975
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202608,10:00,19:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202608,19:00,3:00,8.165,kVAh,15,9.38975
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202608,3:00,5:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,202609,5:00,10:00,6.035,kVAh,-15,5.12975
